Sample	Unique Reads	Duplicate Reads
NS.2150.TSP0001---TSP200X.BS_006_R1	55747.0	812303.0
NS.2150.TSP0001---TSP200X.BS_006_R2	61187.0	799470.0
NS.2150.TSP0002---TSP200X.BS_008_R1	60610.0	754115.0
NS.2150.TSP0002---TSP200X.BS_008_R2	60013.0	748874.0
NS.2150.TSP0003---TSP200X.BS_014_R1	115359.0	2392134.0
NS.2150.TSP0003---TSP200X.BS_014_R2	125552.0	2362510.0
NS.2150.TSP0004---TSP200X.BS_026_R1	47063.0	628077.0
NS.2150.TSP0004---TSP200X.BS_026_R2	45524.0	625128.0
NS.2150.TSP0005---TSP200X.BS_027_R1	54170.0	756210.0
NS.2150.TSP0005---TSP200X.BS_027_R2	55093.0	748885.0
NS.2150.TSP0006---TSP200X.BS_028_R1	77942.0	1103715.0
NS.2150.TSP0006---TSP200X.BS_028_R2	86941.0	1082779.0
NS.2150.TSP0007---TSP200X.BS_029_R1	2696.0	14741.0
NS.2150.TSP0007---TSP200X.BS_029_R2	2532.0	14839.0
NS.2150.TSP0008---TSP200X.BS_031_R1	11069.0	97462.0
NS.2150.TSP0008---TSP200X.BS_031_R2	11567.0	96154.0
NS.2150.TSP0009---TSP200X.BS_033_R1	91052.0	1545030.0
NS.2150.TSP0009---TSP200X.BS_033_R2	87930.0	1538289.0
NS.2150.TSP0010---TSP200X.BS_034_R1	96902.0	1772478.0
NS.2150.TSP0010---TSP200X.BS_034_R2	109141.0	1743574.0
NS.2150.TSP0011---TSP200X.BS_036_R1	47533.0	632989.0
NS.2150.TSP0011---TSP200X.BS_036_R2	43964.0	633401.0
NS.2150.TSP0012---TSP200X.BS_038_R1	83096.0	1195445.0
NS.2150.TSP0012---TSP200X.BS_038_R2	75106.0	1196784.0
NS.2150.TSP0013---TSP200X.BS_040_R1	76937.0	1149387.0
NS.2150.TSP0013---TSP200X.BS_040_R2	77241.0	1140383.0
NS.2150.TSP0014---TSP200X.BS_042_R1	37265.0	392702.0
NS.2150.TSP0014---TSP200X.BS_042_R2	34839.0	392675.0
NS.2150.TSP0015---TSP200X.BS_043_R1	57822.0	783133.0
NS.2150.TSP0015---TSP200X.BS_043_R2	54045.0	781971.0
NS.2150.TSP0016---TSP200X.BS_044_R1	118632.0	1919021.0
NS.2150.TSP0016---TSP200X.BS_044_R2	120182.0	1902367.0
NS.2150.TSP0017---TSP200X.BS_049_R1	31923.0	403129.0
NS.2150.TSP0017---TSP200X.BS_049_R2	29313.0	403353.0
NS.2150.TSP0018---TSP200X.BS_050_R1	79125.0	1138602.0
NS.2150.TSP0018---TSP200X.BS_050_R2	72671.0	1138554.0
NS.2150.TSP0019---TSP200X.BS_051_R1	16864.0	218761.0
NS.2150.TSP0019---TSP200X.BS_051_R2	15697.0	218639.0
NS.2150.TSP0020---TSP200X.BS_052_R1	82762.0	1318752.0
NS.2150.TSP0020---TSP200X.BS_052_R2	76368.0	1318115.0
NS.2150.TSP0021---TSP200X.BS_053_R1	146899.0	3158210.0
NS.2150.TSP0021---TSP200X.BS_053_R2	145681.0	3140926.0
NS.2150.TSP0022---TSP200X.BS_054_R1	120132.0	2163267.0
NS.2150.TSP0022---TSP200X.BS_054_R2	117849.0	2151235.0
NS.2150.TSP0023---TSP200X.BS_055_R1	122258.0	2356942.0
NS.2150.TSP0023---TSP200X.BS_055_R2	120014.0	2343213.0
NS.2150.TSP0024---TSP200X.BS_056_R1	100111.0	1823410.0
NS.2150.TSP0024---TSP200X.BS_056_R2	106807.0	1801936.0
NS.2150.TSP0025---TSP200X.BS_058_R1	129213.0	2649363.0
NS.2150.TSP0025---TSP200X.BS_058_R2	126519.0	2635859.0
NS.2150.TSP0026---TSP200X.BS_059_R1	114796.0	1980497.0
NS.2150.TSP0026---TSP200X.BS_059_R2	107317.0	1976142.0
NS.2150.TSP0027---TSP200X.BS_063_R1	94664.0	1814109.0
NS.2150.TSP0027---TSP200X.BS_063_R2	93008.0	1803708.0
NS.2150.TSP0028---TSP200X.BS_066_R1	140241.0	3349637.0
NS.2150.TSP0028---TSP200X.BS_066_R2	206053.0	3234932.0
NS.2150.TSP0029---TSP200X.BS_068_R1	28164.0	471807.0
NS.2150.TSP0029---TSP200X.BS_068_R2	27209.0	469840.0
NS.2150.TSP0030---TSP200X.BS_069_R1	120397.0	2129677.0
NS.2150.TSP0030---TSP200X.BS_069_R2	117357.0	2119458.0
NS.2150.TSP0031---TSP200X.BS_072_R1	163835.0	3435080.0
NS.2150.TSP0031---TSP200X.BS_072_R2	168650.0	3404533.0
NS.2150.TSP0032---TSP200X.BS_073_R1	124211.0	2391137.0
NS.2150.TSP0032---TSP200X.BS_073_R2	122694.0	2377188.0
NS.2150.TSP0033---TSP200X.BS_074_R1	118831.0	2261001.0
NS.2150.TSP0033---TSP200X.BS_074_R2	123705.0	2238669.0
NS.2150.TSP0034---TSP200X.BS_078_R1	22423.0	358953.0
NS.2150.TSP0034---TSP200X.BS_078_R2	22852.0	355645.0
NS.2150.TSP0035---TSP200X.BS_079_R1	5137.0	29092.0
NS.2150.TSP0035---TSP200X.BS_079_R2	4392.0	29717.0
NS.2150.TSP0036---TSP200X.BS_081_R1	4443.0	26017.0
NS.2150.TSP0036---TSP200X.BS_081_R2	4026.0	26288.0
NS.2150.TSP0037---TSP200X.BS_083_R1	145342.0	3029392.0
NS.2150.TSP0037---TSP200X.BS_083_R2	154896.0	2995565.0
NS.2150.TSP0038---TSP200X.BS_085_R1	76175.0	1160618.0
NS.2150.TSP0038---TSP200X.BS_085_R2	79225.0	1147766.0
NS.2150.TSP0039---TSP200X.BS_086_R1	155071.0	3181471.0
NS.2150.TSP0039---TSP200X.BS_086_R2	161391.0	3150932.0
NS.2150.TSP0040---TSP200X.BS_087_R1	31266.0	374635.0
NS.2150.TSP0040---TSP200X.BS_087_R2	29041.0	374411.0
NS.2150.TSP0041---TSP200X.BS_088_R1	55410.0	701603.0
NS.2150.TSP0041---TSP200X.BS_088_R2	52095.0	700911.0
NS.2150.TSP0042---TSP200X.BS_089_R1	171598.0	3583359.0
NS.2150.TSP0042---TSP200X.BS_089_R2	172665.0	3557441.0
NS.2150.TSP0043---TSP200X.BS_090_R1	191359.0	4577122.0
NS.2150.TSP0043---TSP200X.BS_090_R2	216248.0	4515567.0
NS.2150.TSP0044---TSP200X.BS_091_R1	113410.0	2170983.0
NS.2150.TSP0044---TSP200X.BS_091_R2	124740.0	2140726.0
NS.2150.TSP0045---TSP200X.BS_095_R1	180616.0	4158783.0
NS.2150.TSP0045---TSP200X.BS_095_R2	180759.0	4130451.0
NS.2150.TSP0046---TSP200X.BS_096_R1	5531.0	33638.0
NS.2150.TSP0046---TSP200X.BS_096_R2	4944.0	34080.0
NS.2150.TSP0047---TSP200X.BS_097_R1	3885.0	24448.0
NS.2150.TSP0047---TSP200X.BS_097_R2	3977.0	24151.0
NS.2150.TSP0048---TSP200X.BS_098_R1	181461.0	3936247.0
NS.2150.TSP0048---TSP200X.BS_098_R2	224615.0	3852456.0
NS.2150.TSP0049---TSP200X.BS_099_R1	67268.0	910070.0
NS.2150.TSP0049---TSP200X.BS_099_R2	61127.0	912067.0
NS.2150.TSP0050---TSP200X.BS_100_R1	91960.0	1570507.0
NS.2150.TSP0050---TSP200X.BS_100_R2	90220.0	1563013.0
NS.2150.TSP0052---TSP200X.BS_102_R1	5019.0	30866.0
NS.2150.TSP0052---TSP200X.BS_102_R2	4610.0	31162.0
NS.2150.TSP0054---TSP200X.BS_104_R1	27245.0	347863.0
NS.2150.TSP0054---TSP200X.BS_104_R2	26335.0	346526.0
NS.2150.TSP0055---TSP200X.BS_105_R1	142471.0	2974457.0
NS.2150.TSP0055---TSP200X.BS_105_R2	147157.0	2950863.0
NS.2150.TSP0056---TSP200X.BS_106_R1	18975.0	179783.0
NS.2150.TSP0056---TSP200X.BS_106_R2	18842.0	178686.0
NS.2150.TSP0057---TSP200X.BS_107_R1	64927.0	978330.0
NS.2150.TSP0057---TSP200X.BS_107_R2	64702.0	971988.0
NS.2150.TSP0058---TSP200X.BS_108_R1	52201.0	656917.0
NS.2150.TSP0058---TSP200X.BS_108_R2	53616.0	650057.0
NS.2150.TSP0059---TSP200X.BS_109_R1	64415.0	1011081.0
NS.2150.TSP0059---TSP200X.BS_109_R2	67658.0	1000332.0
NS.2150.TSP0060---TSP200X.BS_110_R1	14960.0	127789.0
NS.2150.TSP0060---TSP200X.BS_110_R2	15250.0	126549.0
NS.2150.TSP0062---TSP200X.BS_112_R1	10847.0	85918.0
NS.2150.TSP0062---TSP200X.BS_112_R2	10500.0	85693.0
NS.2150.TSP0063---TSP200X.BS_113_R1	77543.0	1131502.0
NS.2150.TSP0063---TSP200X.BS_113_R2	73893.0	1128165.0
NS.2150.TSP0064---TSP200X.BS_114_R1	48524.0	601518.0
NS.2150.TSP0064---TSP200X.BS_114_R2	47060.0	598786.0
NS.2150.TSP0065---TSP200X.BS_115_R1	59962.0	790354.0
NS.2150.TSP0065---TSP200X.BS_115_R2	56320.0	789665.0
NS.2150.TSP0066---TSP200X.BS_116_R1	94612.0	1343814.0
NS.2150.TSP0066---TSP200X.BS_116_R2	96624.0	1331634.0
NS.2150.TSP0067---TSP200X.BS_117_R1	38176.0	486545.0
