Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
NS.2150.TSP0001---TSP200X.BS_006_R1	93.5779044985888	46.0	234.31328034099417	242	27.27272727272727	868050.0
NS.2150.TSP0001---TSP200X.BS_006_R2	92.89066376035981	46.0	235.20841403718322	242	36.36363636363637	860657.0
NS.2150.TSP0002---TSP200X.BS_008_R1	92.5606799840437	48.0	235.48124950136548	247	27.27272727272727	814725.0
NS.2150.TSP0002---TSP200X.BS_008_R2	92.58091674115173	48.0	236.68360351940382	247	36.36363636363637	808887.0
NS.2150.TSP0003---TSP200X.BS_014_R1	95.39943566430149	47.0	235.63068850042652	247	27.27272727272727	2507493.0
NS.2150.TSP0003---TSP200X.BS_014_R2	94.95383365437735	47.0	236.54383210707772	247	36.36363636363637	2488062.0
NS.2150.TSP0004---TSP200X.BS_026_R1	93.02914950973131	46.0	233.15160707408833	242	27.27272727272727	675140.0
NS.2150.TSP0004---TSP200X.BS_026_R2	93.21197879078866	46.0	234.727241550014	242	36.36363636363637	670652.0
NS.2150.TSP0005---TSP200X.BS_027_R1	93.3154816259039	46.0	234.7320429921765	242	27.27272727272727	810380.0
NS.2150.TSP0005---TSP200X.BS_027_R2	93.1474493083144	46.0	235.8626604210563	242	36.36363636363637	803978.0
NS.2150.TSP0006---TSP200X.BS_028_R1	93.40400810048939	47.0	235.21922605290706	247	27.27272727272727	1181657.0
NS.2150.TSP0006---TSP200X.BS_028_R2	92.56736654925965	48.0	235.8945593817324	247	36.36363636363637	1169720.0
NS.2150.TSP0007---TSP200X.BS_029_R1	84.53862476343409	47.0	236.7147445088031	247	45.45454545454545	17437.0
NS.2150.TSP0007---TSP200X.BS_029_R2	85.42973922053997	47.0	237.3630763916873	242	36.36363636363637	17371.0
NS.2150.TSP0008---TSP200X.BS_031_R1	89.80107066183855	47.0	235.74475495480553	247	27.27272727272727	108531.0
NS.2150.TSP0008---TSP200X.BS_031_R2	89.26207517568534	47.0	236.52324987699706	247	36.36363636363637	107721.0
NS.2150.TSP0009---TSP200X.BS_033_R1	94.43475327031285	47.0	235.34950081964107	242	27.27272727272727	1636082.0
NS.2150.TSP0009---TSP200X.BS_033_R2	94.59304066672446	47.0	236.60103774460882	247	36.36363636363637	1626219.0
NS.2150.TSP0010---TSP200X.BS_034_R1	94.81635622505857	48.0	235.90572863730222	247	27.27272727272727	1869380.0
NS.2150.TSP0010---TSP200X.BS_034_R2	94.1091658455874	48.0	236.70768628742144	247	36.36363636363637	1852715.0
NS.2150.TSP0011---TSP200X.BS_036_R1	93.01521479099867	46.0	233.4385148459565	242	27.27272727272727	680522.0
NS.2150.TSP0011---TSP200X.BS_036_R2	93.50955540956501	46.0	235.3230887335484	242	36.36363636363637	677365.0
NS.2150.TSP0012---TSP200X.BS_038_R1	93.50071683270228	47.0	235.32915409048283	242	27.27272727272727	1278541.0
NS.2150.TSP0012---TSP200X.BS_038_R2	94.09492959296794	48.0	236.8417418172955	247	36.36363636363637	1271890.0
NS.2150.TSP0013---TSP200X.BS_040_R1	93.7262093867526	47.0	236.0315039092442	247	27.27272727272727	1226324.0
NS.2150.TSP0013---TSP200X.BS_040_R2	93.65641610217932	47.0	237.06779022095492	247	36.36363636363637	1217624.0
NS.2150.TSP0014---TSP200X.BS_042_R1	91.33305579265385	48.0	233.13685003732846	242	27.27272727272727	429967.0
NS.2150.TSP0014---TSP200X.BS_042_R2	91.85079319039845	48.0	234.6302156186698	242	36.36363636363637	427514.0
NS.2150.TSP0015---TSP200X.BS_043_R1	93.12424564929158	47.0	235.2297078916232	242	27.27272727272727	840955.0
NS.2150.TSP0015---TSP200X.BS_043_R2	93.53541080553482	47.0	236.15037750473675	242	36.36363636363637	836016.0
NS.2150.TSP0016---TSP200X.BS_044_R1	94.17802073059757	48.0	235.22341537052677	247	27.27272727272727	2037653.0
NS.2150.TSP0016---TSP200X.BS_044_R2	94.05791803038854	48.0	236.53456751851252	247	36.36363636363637	2022549.0
NS.2150.TSP0017---TSP200X.BS_049_R1	92.66225646589373	45.0	235.0937359212232	247	27.27272727272727	435052.0
